"Name","Adresse","year","Land","Kreis","Gemeinde","Traeger","EinrichtungsTyp","latitude","longitude","Ungefähre_Adresse.x","coordinates"
"Ev.-luth. Diakonissenkrankenhaus, NA, NA, NA","Knuthstraße 1, 24939 Flensburg",2018,"01","001","000","2","2",54.7901483,9.42531037992289,NA,NA
"Malteser Krankenhaus, St. Franziskus, NA, NA","Waldstraße 17, 24939 Flensburg",2018,"01","001","000","2","2",54.7918006,9.418936,NA,NA
"Ameos Klinikum Kiel, NA, NA, NA","Tiroler Ring 621-623, 24147 Kiel",2018,"01","002","000","3","2",54.2965851,10.1853243532962,NA,NA
"Helios Klinik Kiel, NA, NA, NA","Hamburger Chaussee 77, 24113 Kiel",2018,"01","002","000","3","2",54.30453845,10.1168611607636,NA,NA
"Klinik Flechsig GmbH, NA, NA, NA","Chemnitzstr. 33, 24116 Kiel",2018,"01","002","000","3","2",54.3228203,10.1163370634907,NA,NA
"Lubinus-Clinicum, NA, NA, NA","Steenbeker Weg 25, 24106 Kiel",2018,"01","002","000","2","2",54.3537152,10.117189,NA,NA
"nordBLICK Augenklinik Bellevue, NA, NA, NA","Lindenallee 21-23, 24105 Kiel",2018,"01","002","000","3","2",54.3456265,10.1492353,NA,NA
"Park-Klinik, NA, NA, NA","Goethestr. 11, 24116 Kiel",2018,"01","002","000","3","2",54.3266908,10.125726447159,NA,NA
"Psychiatrische Tagesklinik, Kieler Fenster, NA, NA","Alte Lübecker Chaussee 1, 24114 Kiel",2018,"01","002","000","2","4",54.30851005,10.1263000231187,NA,NA
"Sankt Elisabeth-Krankenhaus, NA, NA, NA","Königsweg 8, 24103 Kiel",2018,"01","002","000","2","2",54.31697985,10.1270012527034,NA,NA
"Schmerzklinik Kiel GmbH & Co. KG, NA, NA, NA","Heikendorfer Weg 9-27, 24149 Kiel",2018,"01","002","000","3","2",54.32889415,10.1838106936938,NA,NA
"Städtisches Krankenhaus, NA, NA, NA","Chemnitzstr. 33, 24116 Kiel",2018,"01","002","000","1","2",54.3228203,10.1163370634907,NA,NA
"Tagesklinik für Allergie, und Hautkrankheiten, Dr. med. Harald Brüning, Dr. med. Harald Brüning","Schönberger Str. 72-74, 24148 Kiel",2018,"01","002","000","3","3",54.3255574,10.1779018,NA,NA
"Universitätsklinikum, Schleswig-Holstein, Campus Kiel, Campus Kiel","Brunswiker Str.10, 24105 Kiel",2018,"01","002","000","1","1",54.3278096,10.1417471,NA,NA
"AMEOS Klinika Lübeck -, Fachklinik für, Abhängigkeitserkrankungen, Abhängigkeitserkrankungen","Weidenweg 9-15, 23562 Lübeck",2018,"01","003","000","3","2",53.8485616,10.6901916097782,NA,NA
"AMEOS Klinikum Lübeck, und TK Lübeck, NA, NA","Kahlhorststr. 33, 23562 Lübeck",2018,"01","003","000","3","2",53.8500071,10.691318853313,NA,NA
"Die Brücke, -Tagesklinik-, NA, NA","Engelsgrube 47, 23552 Lübeck",2018,"01","003","000","2","2",53.8715811,10.6862022161317,NA,NA
"Fachklinik für Kinder-, und Jugendpsychiatrie und, und Psychotherapie, und Psychotherapie","Triftstr. 139, 23554 Lübeck",2018,"01","003","000","2","3",53.8937633,10.6801113,NA,NA
"Krankenhaus Rotes Kreuz Lübeck, -Geriatriezentrum-, NA, NA","Marlistr. 10, 23566 Lübeck",2018,"01","003","000","2","2",53.873042,10.7086068,NA,NA
"Marienkrankenhaus Lübeck, NA, NA, NA","Parade 3, 23552 Lübeck",2018,"01","003","000","2","2",53.86203225,10.6852475571023,NA,NA
"Sana Kliniken Lübeck, (Praxisklinik Travemünde), NA, NA","Am Dreilingsberg 7, 23570 Travemünde",2018,"01","003","000","3","2",53.96236525,10.8572882071314,NA,NA
"Strandklinik St. Peter-Ording, (Krankenhaus Süd), NA, NA","Kronsforder Allee 71/73, 23560 Lübeck",2018,"01","003","000","3","2",53.8489421,10.686887,NA,NA
"Universitätsklinikum, Schleswig-Holstein, Campus Lübeck, Campus Lübeck","Ratzeburger Allee 160, 23562 Lübeck",2018,"01","003","000","1","1",53.8338371,10.7035939,NA,NA
"Friedrich-Ebert-Krankenhaus, Neumünster, NA, NA","Friesenstr. 11, 24534 Neumünster",2018,"01","004","000","1","2",54.06526655,9.99298980040623,NA,NA
"Klinik Dr. Lehmann Gmbh, NA, NA, NA","Marienstr. 51, 24534 Neumünster",2018,"01","004","000","3","2",54.0769996,9.99177049382624,NA,NA
