"Name","Adresse","year","Land","Kreis","Gemeinde","Traeger","EinrichtungsTyp","latitude","longitude","Ungefähre_Adresse.x","coordinates"
"DIAKO Krankenhaus gGmbH, DIAKO Krankenhaus gGmbH","Knuthstraße, 1, 24939, Flensburg",2020,"01","001","000","2","2",54.7901483,9.42531037992289,NA,NA
"DIAKO Nordfriesland gGmbH - DIAKO Fachklinik für Psychiatrie, Psychosomatik und Psychotherapie Flensburg, DIAKO Fachklinik für Psychiatrie, Psychosomatik, Psychotherapie","Knuthstraße, 1, 24939, Flensburg",2020,"01","001","000","2","2",54.7901483,9.42531037992289,NA,NA
"DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg, DIAKO Tagesklinik für Erwachsene Flensburg","Marienhölzungsweg, 21, 24939, Flensburg",2020,"01","001","000","2","3",54.7908544,9.4104801,NA,NA
"DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg, DIAKO Tagesklinik für Ältere Flensburg","Marienhölzungsweg, 8, 24939, Flensburg",2020,"01","001","000","2","3",54.7908544,9.4104801,NA,NA
"DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg, DIAKO Tagesklinik für Psychosomatik Flensburg","Nerongsallee, 5, 24939, Flensburg",2020,"01","001","000","2","3",54.788897,9.4196384,NA,NA
"DIAKO Nordfriesland gGmbH - DIAKO Tageskliniken Flensburg, DIAKO Tagesklinik für KJP (Villa Paletti)","Marienhölzungsweg, 68, 24939, Flensburg",2020,"01","001","000","2","3",54.7916492,9.41073733300106,NA,NA
"Katharinen Hospiz am Park, Katharinen Hospiz am Park","Mühlenstraße, 1, 24937, Flensburg",2020,"01","001","000","2","2",54.78645085,9.42745822753118,NA,NA
"Malteser Krankenhaus St. Franziskus-Hospital, Malteser Krankenhaus St. Franziskus-Hospital","Waldstraße, 17, 24939, Flensburg",2020,"01","001","000","2","2",54.7918006,9.418936,NA,NA
"AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz, AMEOS Klinikum Kiel","Tiroler Ring, 621, 24147, Kiel",2020,"01","002","000","3","2",54.2965851,10.1853243532962,NA,NA
"DermaKiel - Tagesklinik für Allergie und Hautkrankheiten, DermaKiel - Tagesklinik für Allergie und Hautkrankheiten","Schönberger Straße, 72-74, 24148, Kiel",2020,"01","002","000","3","3",54.3255574,10.1779018,NA,NA
"Helios Klinik Kiel, Helios Klinik Kiel","Hamburger Chaussee, 77, 24113, Kiel",2020,"01","002","000","3","2",54.30453845,10.1168611607636,NA,NA
"Klinik Flechsig GmbH, Klinik Flechsig GmbH","Chemnitzstraße, 33, 24116, Kiel",2020,"01","002","000","3","2",54.3228203,10.1163370634907,NA,NA
"Kopfcentrum, Kopfcentrum","Am Germaniahafen, 4, 24143, Kiel",2020,"01","002","000","3","4",54.3146837,10.1377552,NA,NA
