"Name","Adresse","year","Land","Kreis","Gemeinde","Traeger","EinrichtungsTyp","latitude","longitude","Ungefähre_Adresse.x","coordinates"
"Diakonissenkrankenhaus, NA, NA, NA","Knuthstraße 1, 24939, Flensburg",2015,"01","001","000","4","2",54.7901483,9.42531037992289,NA,NA
"Malteser Krankenhaus, St. Franziskus Hospital, NA, NA","Waldstraße 17, 24939, Flensburg",2015,"01","001","000","4","2",54.7918006,9.418936,NA,NA
"Augenklinik Bellevue, NA, NA, NA","Lindenallee 21, 24105, Kiel",2015,"01","002","000","5","2",54.3456265,10.1492353,NA,NA
"Helios Klinik Kiel, NA, NA, NA","Hamburger Chaussee 77, 24113, Kiel",2015,"01","002","000","5","2",54.30453845,10.1168611607636,NA,NA
"Klinik Flechsig, NA, NA, NA","Chemnitzstr. 33, 24116, Kiel",2015,"01","002","000","5","2",54.3228203,10.1163370634907,NA,NA
"Lubinus-Clinicum, NA, NA, NA","Steenbeker Weg 25, 24106, Kiel",2015,"01","002","000","4","2",54.3537152,10.117189,NA,NA
"Park-Klinik, NA, NA, NA","Goethestr. 11, 24116, Kiel",2015,"01","002","000","5","2",54.3268401,10.1255997,NA,NA
"Psychiatrische Tagesklinik, ""Kieler Fenster"", NA, NA","Alte Lübecker Chaussee 1, 24114, Kiel",2015,"01","002","000","4","4",54.30851005,10.1263000231187,NA,NA
"Schmerzklinik Kiel GmbH & Co. KG, NA, NA, NA","Heikendorfer Weg 9-27, 24149, Kiel",2015,"01","002","000","5","2",54.32889415,10.1838106936938,NA,NA
"Städtisches Krankenhaus, NA, NA, NA","Chemnitzstr. 33, 24116, Kiel",2015,"01","002","000","3","2",54.3228203,10.1163370634907,NA,NA
"Tagesklinik für Allergie, und Hautkrankheiten, Dr. med. Harald Brüning, NA","Schönberger Str. 72-74, 24148, Kiel",2015,"01","002","000","5","3",54.3255959,10.1777286,NA,NA
"Universitätsklinikum, Schleswig-Holstein, Campus Kiel, NA","Brunswiker Str. 10, 24105, Kiel",2015,"01","002","000","2","1",54.3278925,10.1418968,NA,NA
"Die Brücke, -Tagesklinik-, NA, NA","Engelsgrube 47, 23552, Lübeck",2015,"01","003","000","4","2",53.8715811,10.6862022161317,NA,NA
"Fachklinik für Kinder-, und Jugendpsychiatrie und, und Psychotherapie, NA","Triftstr. 139, 23554, Lübeck",2015,"01","003","000","4","3",53.8937633,10.6801113,NA,NA
"Fachklinik Holstein, NA, NA, NA","Weidenweg 9-15, 23562, Lübeck",2015,"01","003","000","5","2",53.8485616,10.6901916097782,NA,NA
"Krankenhaus Rotes Kreuz Lübeck, -Geriatriezentrum-, NA, NA","Marlistr. 10, 23566, Lübeck",2015,"01","003","000","4","2",53.873042,10.7086068,NA,NA
"Marienkrankenhaus Lübeck, NA, NA, NA","Parade 3, 23552, Lübeck",2015,"01","003","000","4","2",53.86203225,10.6852475571023,NA,NA
"Sana Kliniken GmbH, Krankenhaus Süd, NA, NA","Kronsforder Allee 71/73, 23560, Lübeck",2015,"01","003","000","5","2",53.8487978,10.6879894,NA,NA
"Universitätsklinikum, Schleswig-Holstein, Campus Lübeck, NA","Ratzeburger Allee 160, 23538, Lübeck",2015,"01","003","000","2","1",53.8357072,10.7133614,"Ratzeburger Allee , 23538, Lübeck",NA
"Friedrich-Ebert-Krankenhaus, Neumünster, NA, NA","Friesenstr. 11, 24534, Neumünster",2015,"01","004","000","3","2",54.06526655,9.99298980040623,NA,NA
"Klinik Dr. Lehmann Gmbh, NA, NA, NA","Marienstr. 51, 24534, Neumünster",2015,"01","004","000","3","2",54.0769996,9.99177049382624,NA,NA
"Psychiatrische Tagesklinik, Neumünster gGmbH, NA, NA","Parkstr.17, 24534, Neumünster",2015,"01","004","000","4","2",54.0754737,9.987023,NA,NA
"Psychiatrisches Behandlungs-, zentrum Hahnknüll, NA, NA","Hahnknüll 58, 24537, Neumünster",2015,"01","004","000","4","2",54.0988053,9.9468383,NA,NA
"Psychiatrische Tagesklinik, Heide, NA, NA","Neue Anlage 18, 25746, Heide",2015,"01","051","044","4","2",54.19227425,9.09390738815868,NA,NA
"Westküstenklinikum, Brunsbüttel und Heide, NA, NA","Esmarchstr. 50, 25746, Heide",2015,"01","051","044","3","2",54.1991651,9.0810799,NA,NA
"Helios Klinik Geesthacht, NA, NA, NA","Johannes-Ritter-Straße 100, 21502, Geesthacht",2015,"01","053","032","5","2",53.4230122,10.3865191450163,NA,NA
"Johanniter-Krankenhaus Geesthacht, NA, NA, NA","Am Runden Berge 3, 21502, Geesthacht",2015,"01","053","032","4","2",53.431594,10.3853648,NA,NA
"Vitanas Klinik für Geriatrie, NA, NA, NA","Johannes-Ritter-Str. 100, 21502, Geesthacht",2015,"01","053","032","5","2",53.4230122,10.3865191450163,NA,NA
"DRK-Krankenhaus Mölln-Ratzeburg, NA, NA, NA","Röpersberg 2, 23909, Ratzeburg",2015,"01","053","090","4","2",53.69006115,10.7791545197873,NA,NA
"Klinik für Geriatrie, Ratzeburg GmbH, NA, NA","Röpersberg 47, 23909, Ratzeburg",2015,"01","053","100","3","2",53.6825424,10.7681318537821,NA,NA
"Fachkliniken Nordfriesland, gGmbH, NA, NA","Krankenhausweg 3, 25821, Bredstedt",2015,"01","054","019","4","2",54.6155407,8.9752126,NA,NA
"Privatklinik Dr.Blohm, Hypnose und Psychotherapie, NA, NA","Kirchenstraße 6-8, 25821, Breklum",2015,"01","054","020","5","4",54.60697795,8.9864161,NA,NA
"Klinik Dr. Winkler, NA, NA, NA","Brinckmannstr. 6, 25813, Husum",2015,"01","054","056","5","2",54.48005585,9.05584614735384,NA,NA
"Klinikum Nordfriesland gGmbH, Klinik Husum, NA, NA","Erichsenweg 16, 25813, Husum",2015,"01","054","056","3","2",54.4833008,9.05020024308603,NA,NA
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum, NA, NA","Rebbelstieg 24, 25938, Wyk auf Föhr",2015,"01","054","164","3","2",54.6853714,8.56429667729401,NA,NA
"Asklepios Nordseeklinik, Westerland GmbH, NA, NA","Norderstraße 81, 25980, Westerland",2015,"01","054","168","5","2",54.92546875,8.31328515406595,NA,NA
"HELIOS, Agnes Karll Krankenhaus, Bad Schwartau, NA","Am Hochkamp 21, 23611, Bad Schwartau",2015,"01","055","004","5","2",53.9224163,10.6938415312307,NA,NA
"Sana Klinik Eutin, NA, NA, NA","Hospitalstraße 22, 23701, Eutin",2015,"01","055","012","5","2",54.1331514,10.6019612102492,NA,NA
"St. Elisabeth Krankenhaus, NA, NA, NA","Plöner Str. 42, 23701, Eutin",2015,"01","055","012","4","2",54.1380906,10.6107085370968,NA,NA
"psychatrium Gruppe Heiligenhafen, NA, NA, NA","Friedr.-Ebert-Str. 100, 23774, Heiligenhafen",2015,"01","055","021","5","2",54.3730764718074,10.9635145822832,"Friedr.-Ebert-Str. , 23774, Heiligenhafen","54.37307647180737, 10.963514582283155"
"August-Bier-Klinik, Fachklinik für Neurologie,, Neurotraumatologie und, Rehabilitation","Diekseepromenade 7-11, 23714, Bad Malente-Gremsmühlen",2015,"01","055","028","4","3",54.1640738,10.5478425,NA,NA
"Curtius-Klinik GmbH & Co.KG, Fachklinik für Psychosomatik, und Psychotherapie, NA","Neue Kampstraße 2, 23714, Bad Malente-Gremsmühlen",2015,"01","055","028","5","2",54.17188075,10.5661184831268,NA,NA
"Ameos Klinikum Neustadt, NA, NA, NA","Wiesenhof, 23730, Neustadt i. Holstein",2015,"01","055","032","5","2",54.1042906,10.7945201,NA,NA
"Kinderzentrum Pelzerhaken gGmbH, NA, NA, NA","Zum Leuchtturm 4, 23730, Neustadt in Holstein",2015,"01","055","032","4","2",54.088556,10.8630895676541,NA,NA
"Klinikum Neustadt, NA, NA, NA","Am Kiebitzberg 10, 23730, Neustadt in Holstein",2015,"01","055","032","5","2",54.0906546,10.829046,NA,NA
"Tagesklinik Ostholstein gGmbH, Neustadt, NA, NA","Rettiner Weg 30, 23730, Neustadt/Holst.",2015,"01","055","032","5","2",54.1040752,10.8304066,"Rettiner Weg , 23730, Neustadt",NA
"Sana Klinik Oldenburg, NA, NA, NA","Mühlenkamp 5, 23758, Oldenburg in Holstein",2015,"01","055","033","5","2",54.29005115,10.8799957381353,NA,NA
"DRK-Therapiezentrum Middelburg, NA, NA, NA","Middelburger Str. 1, 23701, Middelburg",2015,"01","055","041","4","2",54.0818987,10.6837497776154,NA,NA
"Curschmann-Klinik, NA, NA, NA","Saunaring 6, 23669, Timmendorfer Strand",2015,"01","055","042","5","3",53.9976313,10.7832228,NA,NA
"Sana Inselklinik Fehmarn, NA, NA, NA","Bürgermeister-Lafrenz-Str. 4, 23769, Burg auf Fehmarn",2015,"01","055","046","5","2",54.4429869,11.1998837,NA,NA
"Fachklinik Bokholt, NA, NA, NA","Hanredder 30 - 32, 25335, Bokholt-Hanredder",2015,"01","056","008","4","3",53.7911825,9.7283298,NA,NA
