"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"563","27323","125","50000",NA,2015
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"641","28610","510","51200",NA,2015
"Malteser Krankenhaus St. Franziskus-Hospital","2016-10-18","260100034","00",NA,"339","10739","722","6927",NA,2015
"Städtisches Krankenhaus Kiel GmbH","2016-10-25","260100089","00",NA,"664","26135","408","48551",NA,2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-11-14","260100170","99",NA,"51","3229","0","99",NA,2015
"Park-Klinik GmbH","2016-11-14","260100147","00",NA,"24","2229","0","0",NA,2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-11-14","260100170","99",NA,"212","6079","0","42209",NA,2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-12-05","260100170","99",NA,"263","9308","0","42308",NA,2015
"Klinik Flechsig GmbH","2016-11-15","260100238","00",NA,"20","1208","0","672",NA,2015
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2017-04-24","260100272","00",NA,"63","6331","0","0",NA,2015
"DRK-Hahnknüll gGmbH","2016-11-14","260100318","00",NA,"30","322","0","0",NA,2015
"Klinik Dr. Lehmann","2016-12-06","260100329","00",NA,"5","381","0","1002",NA,2015
"Johanniter-Krankenhaus Geesthacht (KH)","2017-02-15","260100432","01",NA,"249","10696","512","18016",NA,2015
"Tagesklinik Schwarzenbek
c/o Johanniter-Krankenhaus Geesthacht GmbH","2017-02-15","260100432","02",NA,"16","0","125","0",NA,2015
"Tagesklinik Mölln
c/o Johanniter-Krankenhaus Geesthacht GmbH","2017-02-15","260100432","03",NA,"15","0","155","0",NA,2015
"Johanniter-Krankenhaus Geesthacht (KH)","2017-02-15","260100432","99",NA,"249","10696","792","18016",NA,2015
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2016-11-14","260100454","00",NA,"184","8597","0","16000",NA,2015
"Klinikum Nordfriesland gGmbH, Klinik Husum","2016-11-07","260100476","99",NA,"234","12571","0","20503",NA,2015
"Klinikum Nordfriesland gGmbH, Klinik Husum","2016-11-07","260100476","99",NA,"129","5728","0","12019",NA,2015
"Klinikum Nordfriesland gGmbH, Klinik Husum","2016-11-07","260100476","99",NA,"29","1850","0","10872",NA,2015
"Klinikum Nordfriesland gGmbH, Klinik Husum","2016-11-08","260100476","99",NA,"392","20149","0","43394",NA,2015
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","2016-10-24","260100498","00",NA,"18","1332","0","77",NA,2015
"DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik","2016-11-08","260100546","99",NA,"130","1967","95","5258",NA,2015
"DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik","2016-11-07","260100546","99",NA,"0","0","236","0",NA,2015
"DIAKO Nordfriesland gGmbH (Tagesklinik Husum)","2016-11-07","260100546","99",NA,"0","0","122","8985",NA,2015
"DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik","2016-11-02","260100546","99",NA,"0","0","69","1762",NA,2015
"DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik","2016-11-29","260100546","99",NA,"130","1967","522","16005",NA,2015
"Asklepios Nordseeklinik Westerland/Sylt","2016-12-08","260100557","00",NA,"112","4412","0","13167",NA,2015
"Klinik Dr. Winkler","2016-11-01","260100580","00",NA,"21","949","0","0",NA,2015
"Sana Kliniken Ostholstein GmbH","2016-11-11","260100615","99",NA,"30","1194","0","5549",NA,2015
"Sana Kliniken Ostholstein GmbH","2016-11-13","260100626","99",NA,"228","12196","5448","19793",NA,2015
"Sana Kliniken Ostholstein GmbH","2016-12-05","260100626","99",NA,"395","19452","5756","40210",NA,2015
"Sana Kliniken Ostholstein GmbH","2016-11-13","260100626","99",NA,"137","6062","308","14868",NA,2015
"AMEOS Klinikum Neustadt","2016-11-13","260100659","99",NA,"163","2541","0","3305",NA,2015
"AMEOS Klinikum Neustadt","2016-11-13","260100659","99",NA,"66","990","154","2158",NA,2015
"AMEOS Klinikum Neustadt","2016-11-13","260100659","99",NA,"18","0","161","853",NA,2015
"AMEOS Klinikum Neustadt","2016-11-13","260100659","99",NA,"247","3531","315","6316",NA,2015
"AMEOS Klinikum Heiligenhafen","2016-11-13","260100660","99",NA,"222","2331","84","4091",NA,2015
"AMEOS Klinikum Heiligenhafen","2016-11-13","260100660","99",NA,"24","640","0","1786",NA,2015
"AMEOS Klinikum Heiligenhafen","2016-11-15","260100660","99",NA,"22","341","0","1650",NA,2015
"AMEOS Klinikum Heiligenhafen","2016-11-13","260100660","00",NA,"83","0","83","1627",NA,2015
"AMEOS Klinikum Heiligenhafen","2016-11-13","260100660","00",NA,"25","1142","0","370",NA,2015
"AMEOS Klinikum Heiligenhafen","2016-12-05","260100660","99",NA,"376","4454","167","9524",NA,2015
"Sankt Elisabeth Krankenhaus Eutin","2016-12-15","260100682","00",NA,"105","1769","169","1",NA,2015
"HELIOS Agnes Karll Krankenhaus Bad Schwartau","2017-02-20","260100693","00",NA,"63","4492","65","0",NA,2015
"AUGUST-BIER-KLINIK","2016-11-09","260100706","00",NA,"47","827","0","0",NA,2015
"DRK-Krankenhaus Middelburg","2016-11-14","260100717","00",NA,"100","1349","245","20",NA,2015
"Regio Kliniken GmbH","2016-12-07","260100739","99",NA,"349","16733","141","26421",NA,2015
"Regio Kliniken GmbH","2016-12-07","260100739","99",NA,"455","13062","225","22111",NA,2015
"Regio Kliniken GmbH","2016-12-07","260100739","99",NA,"171","4944","0","2409",NA,2015
"Regio Kliniken GmbH","2016-12-07","260100739","99",NA,"12","0","53","0",NA,2015
"Regio Kliniken GmbH","2016-12-07","260100739","99",NA,"987","34739","419","50941",NA,2015
"Klinik Preetz","2016-11-03","260100820","00",NA,"169","9709","0","8410",NA,2015
"Fachklinik Freudenholm-Ruhleben / Klinische Abteilung","2016-12-09","260100831","00",NA,"44","1533","0","0",NA,2015
"imland Klinik Rendsburg-Eckernförde","2016-12-02","260100875","99",NA,"176","9460","192","16247",NA,2015
"imland Klinik Rendsburg-Eckernförde","2016-12-02","260100875","99",NA,"563","27024","825","46400",NA,2015
"imland Klinik Rendsburg-Eckernförde","2016-12-02","260100875","99",NA,"777","36484","1017","62647",NA,2015
"HELIOS Klinikum Schleswig","2017-02-20","260100911","01",NA,"376","14613","24","46163",NA,2015
"HELIOS Klinikum Schleswig","2017-02-20","260100911","99",NA,"683","18070","288","67725",NA,2015
"HELIOS Fachklinik Schleswig","2017-02-20","260100922","02",NA,"307","3457","264","21562",NA,2015
"Fachkrankenhaus für Psychiatrie und Tagesklinik für Gerontopsychiatrie","2016-11-30","260101002","00",NA,"36","168","70","987",NA,2015
"Diakonissenkrankenhaus Flensburg","2016-10-30","260100023","99",NA,"23","1100","0","0",NA,2015
"Medizinische Klinik Borstel","2016-11-08","260101079","00",NA,"71","2936","135","5280",NA,2015
"Psychiatrisches Krankenhaus Rickling","2016-12-13","260101091","99",NA,"302","3868","0","3927",NA,2015
"Psychiatrisches Krankenhaus Rickling","2016-12-13","260101091","99",NA,"377","3868","864","8414",NA,2015
"Klinikum Bad Bramstedt","2016-11-15","260101104","00",NA,"202","5277","0","13046",NA,2015
"SEGEBERGER KLINIKEN GMBH
Standort Kurpark","2017-02-28","260101126","01",NA,"269","10019","0","4134",NA,2015
"SEGEBERGER KLINIKEN GMBH
Standort Praxisklinik Norderstedt","2017-02-28","260101126","02",NA,"24","1415","0","0",NA,2015
"SEGEBERGER KLINIKEN GMBH
Standort Allgemeine Klinik","2017-02-28","260101126","03",NA,"182","8986","92","13673",NA,2015
"SEGEBERGER KLINIKEN GMBH
Standort Psychosomatische Tagesklinik","2017-02-28","260101126","04",NA,"0","140","0","0",NA,2015
"SEGEBERGER KLINIKEN GMBH
Standort Kurpark","2017-02-28","260101126","99",NA,"475","20560","92","17807",NA,2015
"Klinikum Itzehoe","2016-11-14","260101137","00",NA,"708","29303","3010","35080",NA,2015
"Krankenhaus Reinbek St. Adolf-Stift GmbH","2016-11-15","260101193","00",NA,"313","17591","0","23159",NA,2015
"Norddeutsches Epilepsiezentrum für Kinder und Jugendliche","2016-12-07","260101320","00",NA,"12","547","0","67",NA,2015
"HELIOS Ostseeklinik Damp
","2017-02-20","260101331","00",NA,"354","6177","303","8724",NA,2015
"Kinderzentrum Pelzerhaken","2016-10-28","260101386","00",NA,"35","456","0","2037",NA,2015
"Paracelsus-Nordseeklinik Helgoland","2016-11-08","260101444","00",NA,"34","465","0","1838",NA,2015
"FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH","2016-12-06","260101488","00",NA,"606","25241","786","60223",NA,2015
"CURSCHMANN KLINIK der Klinikgruppe Dr. Guth GmbH & Co. KG","2016-11-02","260101525","00",NA,"30","197","0","152",NA,2015
"Vorwerker Fachklinik Kinder- und Jugendpsychiatrie, -psychosomatik und -psychotherapie","2016-11-07","260101547","99",NA,"75","453","145","4376",NA,2015
"Vorwerker Fachklinik (Tagesklinik Lübeck)","2016-11-07","260101547","00",NA,"83","453","145","4376",NA,2015
"Vorwerker Fachklinik (Tagesklinik Büchen)","2016-11-07","260101547","00",NA,"83","453","145","4376",NA,2015
"Vorwerker Fachklinik (Tagesklinik Eutin)","2016-11-07","260101547","99",NA,"75","453","145","4376",NA,2015
"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychosomatik und -psychotherapie","2016-11-11","260101547","99",NA,"75","453","145","4376",NA,2015
"Schön Klinik Neustadt","2016-11-11","260101809","00",NA,"324","14316","97","32311",NA,2015
"Westküstenkliniken Brunsbüttel und Heide gGmbH","2016-12-15","260101865","99",NA,"661","24590","1115","29150",NA,2015
"Westküstenkliniken Brunsbüttel und Heide gGmbH","2016-12-15","260101865","99",NA,"140","5348","990","5907",NA,2015
"Westküstenkliniken Brunsbüttel und Heide gGmbH","2016-12-14","260101865","99",NA,"0","0","74","1001",NA,2015
"Westküstenkliniken Brunsbüttel und Heide gGmbH","2016-12-15","260101865","99",NA,"801","29938","2179","36058",NA,2015
"Schmerzklinik Kiel","2016-11-13","260101923","00",NA,"60","1545","127","5586",NA,2015
"Praxisklinik Kronshagen","2016-11-09","260101990","00",NA,"3","417","0","0",NA,2015
"DRK-Therapiezentrum Marli GmbH","2016-11-01","260102014","00",NA,"164","2762","631","134",NA,2015
"Asklepios Klinik Bad Oldesloe","2016-11-14","260102036","00",NA,"182","6882","0","12374",NA,2015
"Schön Klinik Bad Bramstedt","2016-11-11","260102047","00",NA,"321","2509","0","120",NA,2015
"Klinik für Geriatrie Ratzeburg GmbH","2016-10-27","260102058","00",NA,"69","1039","150","7",NA,2015
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"23","187","0","1200",NA,2015
"Paracelsus-Klinik Henstedt-Ulzburg","2016-12-14","260102081","00",NA,"211","9047","0","22600",NA,2015
"Curtius Klinik","2016-11-01","260102149","00",NA,"126","1001","0","0",NA,2015
"Park-Klinik Manhagen","2016-11-15","260102150","00",NA,"212","23636","0","11124",NA,2015
"Vitanas Klinik für Geriatrie Geesthacht","2016-11-04","260102229","00",NA,"100","1164","444","4314",NA,2015
"HELIOS Klinik Kiel","2017-02-20","260102230","00",NA,"38","2594","0","0",NA,2015
"HELIOS Klinik Geesthacht: Akutbereich, enthalten sind nur die Daten der Patientinnen/Patienten der besonderen Einrichtung, ohne Patientinnen/Patienten aus dem Reha-Bereich","2017-02-20","260102252","00",NA,"45","516","0","0",NA,2015
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Kiel","2016-12-13","260102343","00",NA,"1166","50041","2342","158166",NA,2015
"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Lübeck","2016-12-13","260102354","00",NA,"1025","52835","878","134900",NA,2015
"Zentrum für Integrative Psychiatrie, Campus Kiel","2016-11-08","260102376","00",NA,"267","2413","773","12629",NA,2015
"AHG Klinik Lübeck","2017-02-20","260102412","00",NA,"22","685","0","452",NA,2015
"Sana Kliniken Lübeck GmbH","2016-11-09","260102423","00",NA,"378","18002","0","12379",NA,2015
"Zentrum für Integrative Psychiatrie - ZIP gGmbH Lübeck","2016-11-08","260102537","00",NA,"170","1758","255","5952",NA,2015
"Psychiatrische Tagesklinik Neumünster gGmbH","2016-11-14","260102582","00",NA,"34","0","282","994",NA,2015
"Psychiatrisches Krankenhaus Rickling","2016-12-13","260101091","99",NA,"20","0","252","601",NA,2015
"Klinik Klosterstraße GmbH","2016-12-05","260102673","00",NA,"11","411","0","900",NA,2015
"nordBLICK Augenklinik Bellevue GmbH","2016-11-14","260102695","00",NA,"35","3029","10637","0",NA,2015
"Universitätsklinikum Hamburg-Eppendorf","2016-11-14","260200013","00",NA,"1436","62400","5901","356633",NA,2015
"Asklepios Klinik St. Georg","2016-11-14","260200024","00",NA,"665","29859","3328","57829",NA,2015
"Asklepios Klinik Barmbek","2016-10-17","260200035","00",NA,"691","35972","29","73860",NA,2015
"Schön Klinik Hamburg Eilbek","2016-11-08","260200046","00",NA,"698","19458","895","35440",NA,2015
"Asklepios Klinik Altona","2016-10-28","260200068","00",NA,"739","37980","57","0",NA,2015
"Asklepios Klinikum Harburg","2016-12-15","260200079","00",NA,"774","33733","907","30023",NA,2015
"Asklepios  Westklinikum Hamburg GmbH","2016-11-15","260200091","00",NA,"473","15313","1183","15523",NA,2015
