"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"DIAKO Klinikum","2023-01-18","260100023","773287000","99","400","20986","130","50000","0",2021
"Malteser Krankenhaus St. Franziskus-Hospital","2022-11-03","260100034","771320000","01","384","11207","284","10691","0",2021
"Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik","2022-11-01","260100034","771321000","02","12","0","92","0","0",2021
"Park-Klinik GmbH","2022-11-15","260100147","773063000","00","24","2162","0","63","0",2021
"Sankt Elisabeth Krankenhaus Kiel","2023-02-21","260100170","771993000","02","43","2425","0","743","0",2021
"Lubinus Clinicum","2023-02-21","260100170","771994000","01","139","5289","0","41221","0",2021
"Klinik Flechsig GmbH","2022-11-10","260100238","771062000","00","30","936","0","368","0",2021
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2023-02-20","260100272","772245000","00","51","5525","0","0","0",2021
"DRK-Fachklinik Hahnknüll gGmbH","2022-11-14","260100318","772648000","00","33","271","0","150","0",2021
"Johanniter-Krankenhaus Geesthacht GmbH","2023-02-23","260100432","772342000","01","195","8161","238","0","0",2021
"Johanniter Tagesklnik Mölln","2023-02-23","260100432","772343000","03","0","0","114","0","0",2021
"Johanniter Tagesklinik Schwarzenbek","2023-02-23","260100432","772344000","02","0","0","84","0","0",2021
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2022-11-10","260100454","771582000","00","167","8437","0","16800","0",2021
"Klinikum Nordfriesland gGmbH, Klinik Husum","2022-11-15","260100476","772465000","01","263","11116","170","11783","0",2021
"Klinikum Nordfriesland gGmbH, Klinik Niebüll","2022-11-15","260100476","773753000","02","135","3846","43","7297","0",2021
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","2022-11-15","260100498","772457000","00","18","884","0","3435","0",2021
"DIAKO Nordfriesland gGmbH - Tagesklinik Breklum","2022-11-10","260100546","772750000","02","0","0","78","0","0",2021
"DIAKO Nordfriesland gGmbH - Tagesklinik Niebüll","2022-11-10","260100546","772751000","04","0","0","66","0","0",2021
"DIAKO Nordfriesland gGmbH - Tagesklinik Husum","2022-11-10","260100546","772752000","03","0","0","131","0","0",2021
"DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik Breklum - stationäre Angebote)","2022-11-10","260100546","772753000","01","110","1707","0","0","0",2021
"Asklepios Nordseeklinik Westerland","2022-11-09","260100557","772802000","00","84","3654","0","14191","0",2021
"Klinik Dr. Winkler","2022-11-14","260100580","771651000","00","21","740","0","0","0",2021
"Sana Kliniken Ostholstein GmbH","2023-02-24","260100626","773004000","04","120","1427","93","0","0",2021
"Sana Kliniken Ostholstein GmbH","2023-02-24","260100626","773006000","99","28","868","0","5764","0",2021
"Sana Kliniken Ostholstein GmbH","2023-02-24","260100626","773006000","99","197","13632","2819","16656","0",2021
"Sana Kliniken Ostholstein GmbH","2023-02-24","260100626","773006000","99","166","6010","73","10721","0",2021
"AMEOS Klinikum Neustadt","2023-02-28","260100659","772933000","00","162","1838","0","2978","0",2021
"AMEOS Klinikum Lübeck","2023-02-28","260100659","772934000","02","89","861","120","2607","0",2021
"AMEOS Tagesklinik Eutin","2023-02-28","260100659","772935000","99","24","193","196","1855","0",2021
"AMEOS Klinikum Heiligenhafen","2023-02-28","260100660","772926000","00","214","1913","129","3925","0",2021
"AMEOS Klinikum Kiel","2023-02-28","260100660","772927000","02","35","729","93","1492","0",2021
"AMEOS Klinikum Preetz","2023-02-28","260100660","772928000","03","71","1021","112","1810","0",2021
"AMEOS Tagesklinik Oldenburg","2023-02-28","260100660","772929000","04","17","87","117","4389","0",2021
"AMEOS Klinikum Oldenburg","2023-02-28","260100660","773086000","05","21","1913","0","1671","0",2021
"Sankt Elisabeth Krankenhaus Eutin","2022-10-25","260100682","771399000","00","118","1784","40","0","0",2021
"Helios Agnes Karll Krankenhaus Bad Schwartau [BSC] [BSC]","2023-02-23","260100693","771825000","00","75","4240","0","0","0",2021
"AUGUST-BIER-KLINIK - Neurologie und Rehabilitation","2022-11-08","260100706","772843000","00","51","749","0","0","0",2021
"Regio Kliniken GmbH - Klinikum Pinneberg","2022-11-09","260100739","772624000","01","304","15214","0","19297","0",2021
"Regio Kliniken GmbH - Klinikum Elmshorn","2022-11-08","260100739","772625000","02","563","11273","536","15445","0",2021
