"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Tarifliche_Wochenarbeitszeit","Anzahl_Aerzte_VK_ohne_beleg","Anzahl_Aerzte_VK_Mit_direktem_BV_ohne_beleg","Anzahl_Aerzte_VK_Ohne_direktem_BV_ohne_beleg","Anzahl_Aerzte_VK_Ambulante_Versorgung_ohne_beleg","Anzahl_Aerzte_VK_Stationaere_Versorgung_ohne_beleg","Anzahl_FA_VK_ohne_beleg","Anzahl_FA_VK_Mit_direktem_BV_ohne_beleg","Anzahl_FA_VK_Ohne_direktem_BV_ohne_beleg","Anzahl_FA_VK_Ambulante_Versorgung_ohne_beleg","Anzahl_FA_VK_Stationaere_Versorgung_ohne_beleg","Anzahl_Aerzte_VK_beleg","Anzahl_Aerzte_VK_ohne_fachabteilung","Anzahl_Aerzte_VK_Mit_direktem_BV_ohne_fachabteilung","Anzahl_Aerzte_VK_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_Aerzte_VK_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_Aerzte_VK_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_FA_VK_ohne_fachabteilung","Anzahl_FA_VK_Mit_direktem_BV_ohne_fachabteilung","Anzahl_FA_VK_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_FA_VK_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_FA_VK_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_gesundheits_krankenpfleger","Anzahl_VK_gesundheits_krankenpfleger_Mit_direktem_BV","Anzahl_VK_gesundheits_krankenpfleger_Ohne_direktem_BV","Anzahl_VK_gesundheits_krankenpfleger_Ambulante_Versorgung","Anzahl_VK_gesundheits_krankenpfleger_Stationaere_Versorgung","Anzahl_VK_gesundheits_krankenpfleger_ohne_fachabteilung","Anzahl_VK_gesundheits_krankenpfleger_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_gesundheits_krankenpfleger_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_gesundheits_krankenpfleger_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_gesundheits_krankenpfleger_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_gesundheits_kinderkrankenpfleger","Anzahl_VK_gesundheits_kinderkrankenpfleger_Mit_direktem_BV","Anzahl_VK_gesundheits_kinderkrankenpfleger_Ohne_direktem_BV","Anzahl_VK_gesundheits_kinderkrankenpfleger_Ambulante_Versorgung","Anzahl_VK_gesundheits_kinderkrankenpfleger_Stationaere_Versorgung","Anzahl_VK_gesundheits_kinderkrankenpfleger_ohne_fachabteilung","Anzahl_VK_gesundheits_kinderkrankenpfleger_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_gesundheits_kinderkrankenpfleger_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_gesundheits_kinderkrankenpfleger_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_gesundheits_kinderkrankenpfleger_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_altenpfleger","Anzahl_VK_altenpfleger_Mit_direktem_BV","Anzahl_VK_altenpfleger_Ohne_direktem_BV","Anzahl_VK_altenpfleger_Ambulante_Versorgung","Anzahl_VK_altenpfleger_Stationaere_Versorgung","Anzahl_VK_altenpfleger_ohne_fachabteilung","Anzahl_VK_altenpfleger_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_altenpfleger_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_altenpfleger_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_altenpfleger_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_pflegeassistenten","Anzahl_VK_pflegeassistenten_Mit_direktem_BV","Anzahl_VK_pflegeassistenten_Ohne_direktem_BV","Anzahl_VK_pflegeassistenten_Ambulante_Versorgung","Anzahl_VK_pflegeassistenten_Stationaere_Versorgung","Anzahl_VK_pflegeassistenten_ohne_fachabteilung","Anzahl_VK_pflegeassistenten_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_pflegeassistenten_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_pflegeassistenten_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_pflegeassistenten_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_krankenpflegehelfer","Anzahl_VK_krankenpflegehelfer_Mit_direktem_BV","Anzahl_VK_krankenpflegehelfer_Ohne_direktem_BV","Anzahl_VK_krankenpflegehelfer_Ambulante_Versorgung","Anzahl_VK_krankenpflegehelfer_Stationaere_Versorgung","Anzahl_VK_krankenpflegehelfer_ohne_fachabteilung","Anzahl_VK_krankenpflegehelfer_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_krankenpflegehelfer_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_krankenpflegehelfer_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_krankenpflegehelfer_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_pflegehelfer","Anzahl_VK_pflegehelfer_Mit_direktem_BV","Anzahl_VK_pflegehelfer_Ohne_direktem_BV","Anzahl_VK_pflegehelfer_Ambulante_Versorgung","Anzahl_VK_pflegehelfer_Stationaere_Versorgung","Anzahl_VK_pflegehelfer_ohne_fachabteilung","Anzahl_VK_pflegehelfer_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_pflegehelfer_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_pflegehelfer_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_pflegehelfer_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_hebammen_entbindungspfleger","Anzahl_VK_hebammen_entbindungspfleger_Mit_direktem_BV","Anzahl_VK_hebammen_entbindungspfleger_Ohne_direktem_BV","Anzahl_VK_hebammen_entbindungspfleger_Ambulante_Versorgung","Anzahl_VK_hebammen_entbindungspfleger_Stationaere_Versorgung","Anzahl_VK_hebammen_entbindungspfleger_ohne_fachabteilung","Anzahl_VK_hebammen_entbindungspfleger_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_hebammen_entbindungspfleger_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_hebammen_entbindungspfleger_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_hebammen_entbindungspfleger_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_operationstechnische_assistenz","Anzahl_VK_operationstechnische_assistenz_Mit_direktem_BV","Anzahl_VK_operationstechnische_assistenz_Ohne_direktem_BV","Anzahl_VK_operationstechnische_assistenz_Ambulante_Versorgung","Anzahl_VK_operationstechnische_assistenz_Stationaere_Versorgung","Anzahl_VK_operationstechnische_assistenz_ohne_fachabteilung","Anzahl_VK_operationstechnische_assistenz_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_operationstechnische_assistenz_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_operationstechnische_assistenz_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_operationstechnische_assistenz_Stationaere_Versorgung_ohne_fachabteilung","Anzahl_VK_medizinische_fachangestellte","Anzahl_VK_medizinische_fachangestellte_Mit_direktem_BV","Anzahl_VK_medizinische_fachangestellte_Ohne_direktem_BV","Anzahl_VK_medizinische_fachangestellte_Ambulante_Versorgung","Anzahl_VK_medizinische_fachangestellte_Stationaere_Versorgung","Anzahl_VK_medizinische_fachangestellte_ohne_fachabteilung","Anzahl_VK_medizinische_fachangestellte_Mit_direktem_BV_ohne_fachabteilung","Anzahl_VK_medizinische_fachangestellte_Ohne_direktem_BV_ohne_fachabteilung","Anzahl_VK_medizinische_fachangestellte_Ambulante_Versorgung_ohne_fachabteilung","Anzahl_VK_medizinische_fachangestellte_Stationaere_Versorgung_ohne_fachabteilung","year"
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"40,00","185,07","184,78","0,29","9,22","175,85","104,67","104,45","0,22","6,77","97,9","0","4","4","0","1,3","2,7","4","4","0","1,3","2,7","370,4","370,4","0","10,2","360,2","52","52","0","9,5","42,5","46,1","46,1","0","0,2","45,9","52","52","0","9,5","42,5","2,7","2,7","0","0","2,7","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,8","7,8","0","0","7,8","2,5","2,5","0","0","2,5","5,7","5,7","0","0","5,7","0","0","0","0","0","13,5","13,5","0","0","13,5","0","0","0","0","0","6,5","6,5","0","0","6,5","6,5","6,5","0","0","6,5","28","28","0","3,6","24,4","7,2","7,2","0","1,6","5,6",2015
"Diakonissenkrankenhaus Flensburg","2016-11-08","260100023","99",NA,"39,62","186,57","186,28","0,29","9,22","177,35","105,37","105,15","0,22","6,77","98,6","17","4","4","0","1,3","2,7","4","4","0","1,3","2,7","390,5","390,5","0","11,8","378,7","55,3","55,3","0","11,1","44,2","47,7","47,7","0","0,2","47,5","55,3","55,3","0","11,1","44,2","2,7","2,7","0","0","2,7","0","0","0","0","0","2,6","0","0","0","2,6","2,6","0","0","0","2,6","7,8","7,8","0","0","7,8","2,5","2,5","0","0","2,5","6,9","6,9","0","0","6,9","0","0","0","0","0","15,1","15,1","0","0","15,1","0","0","0","0","0","11,1","7,5","0","0","11,1","11,1","7,5","0","0","11,1","30,8","28,6","0","3,6","25","10","7,8","0","1,6","6,2",2015
"Malteser Krankenhaus St. Franziskus-Hospital","2016-10-18","260100034","00",NA,"40,00","82,75","82,75","0,00","0,00","82,75","48,49","48,49","0,00","0,00","48,49","4","0,50","0,50","0,00","0,00","0,50","0,50","0,50","0,00","0,00","0,50","227,49","227,49","0,00","0,00","227,49","0,91","0,91","0,00","0,00","0,91",NA,NA,NA,NA,NA,"0,91","0,91","0,00","0,00","0,91","4,93","4,93","0,00","0,00","4,93","0,00","0,00","0,00","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8,39","8,39","0,00","0,00","8,39","0,00","0,00","0,00","0,00","0,00","4,23","4,23","0,00","0,00","4,23","0,00","0,00","0,00","0,00","0,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"Städtisches Krankenhaus Kiel GmbH","2016-10-25","260100089","00",NA,"40,00","188,83","188,54","0,29","3,55","112,24","108,14","107,95","0,19","2,75","55,54","0","0","0","0","0","0","0","0","0","0","0","369,24","363,7","5,54","11,04","289","0","0","0","0","0","42,74","42,74","0","0,64","42,1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","13,62","13,62","0","0","6,31","0","0","0","0","0","5,16","5,16","0","0","2,28","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","16,93","16,93","0","0,6","8,32","0","0","0","0","0",2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-11-14","260100170","99",NA,"40,00","4","4","0","0","4","4","4","0","0","4","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38,01","38,01","0","0","38,01","0","0","0","0","0","2,18","2,18","0","0","2,18","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"Park-Klinik GmbH","2016-11-14","260100147","00",NA,"40,00","4,62","4,62","0,00","0,00","4,62","4,62","4,62","0,00","0,00","4,62","20","4,62","4,62","0,00","0,00","4,62","4,62","4,62","0,00","0,00","4,62","17,00","17,00","0,00","0,00","17,00","17,00","17,00","0,00","0,00","17,00",NA,NA,NA,NA,NA,"17,00","17,00","0,00","0,00","17,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,00","1,00","0,00","0,00","1,00","1,00","1,00","0,00","0,00","1,00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,80","3,80","0,00","0,00","3,80","3,80","3,80","0,00","0,00","3,80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-11-14","260100170","99",NA,"40,00","70,81","70,81","0","0","70,81","63,55","38,45","0","0","38,45","1","0","0","0","0","0","0","0","0","0","0","124,87","124,87","0","0","124,87","0","0","0","0","0","5,72","2,86","0","0","2,86","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","4,07","4,07","0","0","4,07","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,5","3,5","0","0","3,5","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"Lubinus Clinicum (Lubinus Stiftung)","2016-12-05","260100170","99",NA,"40,00","74,81","74,81","0","0","74,81","67,55","42,45","0","0","42,45","29","0","0","0","0","0","0","0","0","0","0","162,88","162,88","0","0","162,88","0","0","0","0","0","7,9","5,04","0","0","5,04","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","4,07","4,07","0","0","4,07","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,5","3,5","0","0","3,5","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"Klinik Flechsig GmbH","2016-11-15","260100238","00",NA,"00,00","0","0","0","0","0","0","0","0","0","0","8","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","13,9","13,9","0","0","13,9","0","0","0","0","0",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2017-04-24","260100272","00",NA,"40,00","17,12","6,12","11","6","11,12","11","0","11","6","5","42","11","0","11","6","5","11","0","11","6","5","36,29","36,29","0","0","36,29","0","0","0","0","0","9,6","9,6","0","0","9,6","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,"3,4","3,4","0","0","3,4",NA,NA,NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,"15","15","0","0","15",NA,NA,NA,NA,NA,"4,3","4,3","0","0","4,3",NA,NA,NA,NA,NA,"0,8","0,8","0","0,8","0",NA,NA,NA,NA,NA,2015
