"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"Hochgebirgsklinik Davos","2014-02-13","260000066","00",NA,"74","377","0","1513",NA,2012
"Diakonissenkrankenhaus Flensburg","2014-02-13","260100023","00",NA,"596","22894","281","61503",NA,2012
"Malteser Krankenhaus St. Franziskus-Hospital","2014-02-11","260100034","00",NA,"316","10023","648","12113",NA,2012
"Städtisches Krankenhaus Kiel GmbH","2014-02-13","260100089","00",NA,"602","24892","385","41921",NA,2012
"Sankt Elisabeth Krankenhaus Kiel","2014-02-05","260100125","00",NA,"51","3445","0","0",NA,2012
"Park-Klinik GmbH","2014-02-06","260100147","00",NA,"24","2276","0","0",NA,2012
"Lubinus Clinicum","2014-02-13","260100170","00",NA,"212","6392","0","38345",NA,2012
"Klinik Flechsig","2014-02-14","260100238","00",NA,"20","1318","0","0",NA,2012
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2014-02-07","260100272","00",NA,"63","6213","0","0",NA,2012
"DRK-Fachklinik Hahnknüll gGmbH","2014-02-12","260100318","00",NA,"30","350","0","0",NA,2012
"Klinik Dr. Lehmann","2014-02-13","260100329","00",NA,"26","485","0","0",NA,2012
"Johanniter-Krankenhaus Geesthacht (KH)","2014-02-10","260100432","01",NA,"249","11615","647","14039",NA,2012
"Tagesklinik Schwarzenbek
c/o Johanniter-Krankenhaus Geesthacht GmbH","2014-02-05","260100432","02",NA,"16","0","156","0",NA,2012
"Tagesklinik Mölln
c/o Johanniter-Krankenhaus Geesthacht GmbH","2014-02-05","260100432","03",NA,"15","0","223","0",NA,2012
"Johanniter-Krankenhaus Geesthacht GmbH","2014-02-10","260100432","99",NA,"249","11614","647","14039",NA,2012
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2014-02-14","260100454","00",NA,"184","8899","0","18194",NA,2012
"Klinikum Nordfriesland gGmbH, Klinik Husum","2014-01-21","260100476","99",NA,"253","11706","256","23000",NA,2012
"Klinikum Nordfriesland gGmbH, Klinik Husum","2014-01-21","260100476","99",NA,"108","5829","165","15000",NA,2012
"Klinikum Nordfriesland gGmbH, Klinik Husum","2014-01-21","260100476","99",NA,"33","2479","0","13000",NA,2012
"Klinikum Nordfriesland gGmbH, Klinik Husum","2014-01-21","260100476","99",NA,"394","19895","421","51000",NA,2012
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","2014-01-21","260100498","00",NA,"18","1543","0","0",NA,2012
"Fachklinik für Psychiatrie und Psychosomatik","2014-01-29","260100546","99",NA,"90","1039","135","1629",NA,2012
"Fachklinik für Psychiatrie und Psychosomatik","2014-01-29","260100546","99",NA,"40","1108","0","0",NA,2012
"Fachklinik für Psychiatrie und Psychosomatik","2014-01-29","260100546","99",NA,"0","0","146","1953",NA,2012
"Fachklinik für Psychiatrie und Psychosomatik","2014-01-29","260100546","99",NA,"0","0","112","698",NA,2012
"Fachklinik für Psychiatrie und Psychosomatik","2014-01-30","260100546","99",NA,"130","2147","393","4280",NA,2012
"Asklepios Nordseeklinik Westerland/Sylt","2014-02-11","260100557","00",NA,"114","4800","0","8697",NA,2012
"Klinik Dr. Winkler","2014-01-30","260100580","00",NA,"21","934","0","0",NA,2012
"Sana Kliniken Ostholstein GmbH","2014-02-11","260100626","99",NA,"30","987","0","5033",NA,2012
"Sana Kliniken Ostholstein GmbH","2014-02-11","260100626","99",NA,"215","11899","4672","17229",NA,2012
"Sana Kliniken Ostholstein GmbH","2014-02-11","260100626","99",NA,"395","19811","4934","40971",NA,2012
"Sana Kliniken Ostholstein GmbH","2014-02-11","260100626","99",NA,"150","6925","262","18709",NA,2012
"AMEOS Klinikum Neustadt","2013-12-20","260100659","99",NA,"163","2312","0","1724",NA,2012
"AMEOS Klinikum Neustadt","2013-12-20","260100659","99",NA,"66","1053","175","1281",NA,2012
"Ameos Klinikum Luebeck","2014-01-20","260100659","99",NA,"229","3365","175","3005",NA,2012
"AMEOS Klinikum Heiligenhafen","2014-01-12","260100660","99",NA,"220","2407","0","1163",NA,2012
"AMEOS Klinikum Heiligenhafen","2013-12-20","260100660","99",NA,"24","724","0","1636",NA,2012
"AMEOS Klinikum Heiligenhafen","2013-12-20","260100660","99",NA,"22","283","0","1285",NA,2012
"AMEOS Klinikum Heiligenhafen","2013-12-20","260100660","99",NA,"0","0","137","1190",NA,2012
"AMEOS Klinikum Heiligenhafen","2013-12-20","260100660","99",NA,"25","984","0","0",NA,2012
"AMEOS Klinikum Oldenburg fuer Neurologie und Neurophysiologie","2014-01-22","260100660","99",NA,"291","4398","137","5274",NA,2012
"Sankt Elisabeth Krankenhaus Eutin","2014-02-11","260100682","00",NA,"86","1338","0","0",NA,2012
"HELIOS Agnes Karll Krankenhaus Bad Schwartau","2014-06-02","260100693","00",NA,"63","3575","164","0",NA,2012
"AUGUST-BIER-KLINIK - Fachklinik für Neurologie, Neurotraumatologie und Rehabilitation","2014-02-12","260100706","00",NA,"47","842","0","0",NA,2012
"DRK-Krankenhaus Middelburg","2014-02-14","260100717","00",NA,"86","1232","278","0",NA,2012
"Regio Kliniken GmbH ","2014-02-06","260100739","01",NA,"317","16943","0","26520",NA,2012
"Regio Kliniken GmbH","2014-02-06","260100739","02",NA,"476","13925","764","21178",NA,2012
"Regio Kliniken GmbH ","2014-02-06","260100739","03",NA,"165","5437","0","4629",NA,2012
