"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"Hochgebirgsklinik Davos","2009-12-31","990800010, 510000248, 260000066","00",NA,"74","510",NA,"Fallzählweise1451",NA,2008
"Diakonissenkrankenhaus Flensburg","2009-12-28","260100023, 512100210, 510106995, 201304613","00",NA,"599","22836",NA,"Fallzählweise55032",NA,2008
"Malteser Krankenhaus St. Franziskus-Hospital","2009-08-13","260100034","00",NA,"318","9193",NA,"Quartalszählweise8463",NA,2008
"Städtisches Krankenhaus Kiel GmbH","2009-12-11","260100089","00",NA,"629","23889",NA,"Sonstige Zählweise21110",NA,2008
"Sankt Elisabeth Krankenhaus Kiel","2009-08-25","260100125","00",NA,"49","2646",NA,"Sonstige Zählweise1461",NA,2008
"Park-Klinik Kiel","2009-08-27","260100147","00",NA,"34","2237",NA,NA,NA,2008
"Lubinus Clinicum","2009-12-23","260100170","00",NA,"212","7011",NA,"Fallzählweise3549",NA,2008
"Klinik Flechsig","2009-12-30","260100238","00",NA,"24","1353",NA,NA,NA,2008
"Marien-Krankenhaus Lübeck gGmbH)","2009-12-21","260100272","00",NA,"72","6071",NA,"Fallzählweise4459",NA,2008
"DRK-Fachklinik Hahnknüll gGmbH","2009-08-13","260100318","00",NA,"27","344",NA,"Patientenzählweise459",NA,2008
"Klinik Dr. Lehmann","2009-08-10","260100329","00",NA,"26","779",NA,"Fallzählweise917",NA,2008
"Johanniter-Krankenhaus Geesthacht","2009-08-31","260100432","00",NA,"277","11306",NA,"Patientenzählweise1453",NA,2008
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2009-12-30","260100454","00",NA,"230","8662",NA,"Fallzählweise18343",NA,2008
"Klinikum Nordfriesland gGmbH - Klinik Husum","2009-08-24","260100476","01",NA,"228","11363",NA,"Sonstige Zählweise16500",NA,2008
"Klinikum Nordfriesland gGmbH - Klinik Niebüll","2009-08-24","260100476","02",NA,"114","5644",NA,"Sonstige Zählweise13000",NA,2008
"Klinikum Nordfriesland gGmbH - Klinik Tönning","2009-08-24","260100476","03",NA,"47","2295",NA,"Sonstige Zählweise9500",NA,2008
"Klinikum Nordfriesland gGmbH - Inselklinik Föhr-Amrum","2009-08-24","260100498","04",NA,"23","1499",NA,"Sonstige Zählweise2500",NA,2008
"Fachkliniken Nordfriesland gGmbH","2009-09-04","260100546","00",NA,"130","2715",NA,"Quartalszählweise2536",NA,2008
"Asklepios Nordseeklinik Westerland/Sylt","2009-08-26","260100557","00",NA,"122","4705",NA,"Fallzählweise11119",NA,2008
"Klinik Dr. Winkler","2009-07-20","260100580","00",NA,"25","937",NA,NA,NA,2008
"Sana Kliniken Ostholstein GmbH - Inselklinik Fehmarn","2009-08-19","260100626","03",NA,"30","254",NA,"Fallzählweise2507",NA,2008
"Sana Kliniken Ostholstein GmbH - Klinik Eutin","2009-08-19","260100626","01",NA,"225","10995",NA,"Fallzählweise19018",NA,2008
"Sana Kliniken Ostholstein GmbH - Klinik Oldenburg","2009-08-19","260100626","02",NA,"156","7676",NA,"Fallzählweise19612",NA,2008
"AMEOS Klinikum Neustadt","2009-06-17","260100659","00",NA,"256","3812",NA,"Quartalszählweise1922",NA,2008
"AMEOS Klinikum Heiligenhafen","2009-06-17","260100660","00",NA,"297","4436",NA,"Quartalszählweise3162",NA,2008
"Sankt-Elisabeth-Krankenhaus Eutin","2009-08-31","260100682","00",NA,"71","1378",NA,"Patientenzählweise1",NA,2008
"HELIOS Agnes-Karll Krankenhaus","2009-12-04","260100693","00",NA,"65","3683",NA,NA,NA,2008
"AUGUST-BIER-KLINIK, Fachklinik für Neurologie, Neurotraumatologie und Rehabilitation","2009-08-27","260100706","00",NA,"52","753",NA,"Fallzählweise275",NA,2008
"DRK-Krankenhaus Middelburg","2009-12-23","260100717","00",NA,"68","867",NA,NA,NA,2008
"Regio Klinikum Elmshorn","2009-08-31","260100739","02",NA,"416","11336",NA,"Sonstige Zählweise16292",NA,2008
"Regio.Kliniken GmbH Klinikum Pinneberg","2009-08-31","260100739","01",NA,"300","15374",NA,"Sonstige Zählweise22561",NA,2008
"Regio.Kliniken GmbH Klinikum Wedel","2009-08-31","260100739","03",NA,"178","6390",NA,"Sonstige Zählweise10094",NA,2008
"Klinik Preetz, Einrichtung der Gesundheits- u. Pflegeeinrichtungen gGmbH u. Dienstleistungsgesellschaft des Kreises Plön","2009-07-20","260100820","00",NA,"163","7447",NA,"Fallzählweise4836",NA,2008
"Fachklinik Freudenholm-Ruhleben","2009-08-31","260100831","00",NA,"36","1351",NA,NA,NA,2008
"Kreiskrankenhaus Rendsburg-Eckernförde - Standort Rendsburg","2009-08-19","260100875","01",NA,"664","19967",NA,"Fallzählweise25291",NA,2008
"Kreiskrankenhaus Rendsburg-Eckernförde - Standort Eckernförde","2009-08-19","260100875","02",NA,"170","8213",NA,"Fallzählweise10085",NA,2008
"SCHLEI-Klinikum Schleswig MLK","2009-08-28","260100911","00",NA,"353","14813",NA,"Fallzählweise16763",NA,2008
"SCHLEI-Klinikum Schleswig FKSL GmbH","2009-08-20","260100911, 260100922","00",NA,"303","3379",NA,"Quartalszählweise7223",NA,2008
"Fachkrankenhaus fuer Psychiatrie und Psychotherapie Tagesklinik fuer Gerontopsychiatrie","2009-08-31","260101002","00",NA,"35","268",NA,"Fallzählweise539",NA,2008
"Margarethen Klinik gemeinnützige GmbH","2009-09-14","260101024","00",NA,"32","959",NA,NA,NA,2008
"Medizinische Klinik Borstel","2009-08-14","260101079","00",NA,"73","2940",NA,"Fallzählweise3517",NA,2008
"Psychiatrisches Krankenhaus Rickling","2009-08-31","260101091, 510106882, 512104145","00",NA,"270","3507",NA,"Quartalszählweise3291",NA,2008
"Klinikum Bad Bramstedt","2009-12-15","260101104","00",NA,"212","5782",NA,"Quartalszählweise9710",NA,2008
