"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"DIAKO Klinikum","2023-11-14","260100023","773287000","00","400","19666","165","50000","0",2022
"Malteser Krankenhaus St. Franziskus-Hospital","2023-11-02","260100034","771320000","01","384","11248","182","8482","0",2022
"Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik","2023-11-02","260100034","771321000","02","12","0","1","1","0",2022
"Park-Klinik GmbH","2023-11-15","260100147","773063000","00","39","2056","0","0","0",2022
"Sankt Elisabeth Krankenhaus Kiel","2023-12-13","260100170","771993000","02","43","2312","0","1049","0",2022
"Lubinus Clinicum","2023-12-13","260100170","771994000","01","139","5421","0","36262","0",2022
"Klinik Flechsig GmbH","2023-11-10","260100238","771062000","00","30","959","0","695","0",2022
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH ","2023-10-24","260100272","772245000","00","51","5361","0","0","0",2022
"Johanniter-Krankenhaus Geesthacht GmbH","2023-11-13","260100432","772342000","01","195","7661","265","0","0",2022
"Johanniter Tagesklinik Mölln","2023-11-13","260100432","772343000","03","0","0","121","0","0",2022
"Johanniter Tagesklinik Schwarzenbek","2023-11-13","260100432","772344000","02","0","1","131","0","0",2022
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2023-11-13","260100454","771582000","00","167","7605","0","0","0",2022
"Klinikum Nordfriesland gGmbH, Klinik Husum","2023-11-09","260100476","772465000","01","263","11324","128","15015","0",2022
"Klinikum Nordfriesland gGmbH, Klinik Niebüll","2023-11-09","260100476","773753000","02","135","3694","72","8795","0",2022
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","2023-11-09","260100498","772457000","00","18","975","0","3239","0",2022
"DIAKO Nordfriesland gGmbH - Tagesklinik Niebüll","2023-10-24","260100546","772751000","04","0","0","89","0","0",2022
"DIAKO Nordfriesland gGmbH - Tagesklinik Husum","2023-10-24","260100546","772752000","03","0","0","157","0","0",2022
"DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik Breklum - stationäre Angebote)","2023-10-24","260100546","772753000","01","110","1491","0","0","0",2022
"DIAKO Nordfriesland gGmbH - Tagesklinik Breklum","2023-10-24","260100546","773812000","02","0","0","101","0","0",2022
"Asklepios Nordseeklinik Westerland","2023-11-14","260100557","772802000","00","84","2901","0","13713","0",2022
"Klinik Dr. Winkler","2023-12-15","260100580","771651000","00","13","730","0","0","0",2022
"AMEOS Klinikum Middelburg","2023-11-14","260100626","773004000","04","120","1242","179","0","0",2022
"AMEOS Krankenhausgesellschaft Ostholstein mbH - Klinikum Fehmarn","2023-11-14","260100626","773005000","03","28","760","0","5385","0",2022
"AMEOS Krankenhausgesellschaft mbH - Klinikum Eutin","2023-11-14","260100626","773006000","01","197","11326","883","14939","0",2022
"AMEOS Krankenhausgesellschaft Ostholstein mbH - Klinikum Oldenburg","2023-11-14","260100626","773007000","02","151","7047","464","9614","0",2022
"AMEOS Klinikum Neustadt","2023-11-13","260100659","772933000","00","162","1258","0","2588","0",2022
"AMEOS Klinikum Lübeck","2023-11-13","260100659","772934000","02","89","851","145","2432","0",2022
"AMEOS Tagesklinik Eutin","2023-11-13","260100659","772935000","99","24","211","207","2160","0",2022
"AMEOS Klinikum Heiligenhafen","2023-11-13","260100660","772926000","00","214","1944","124","3775","0",2022
"AMEOS Klinikum Kiel","2023-11-13","260100660","772927000","02","35","664","104","1345","0",2022
"AMEOS Klinikum Preetz","2023-11-13","260100660","772928000","03","71","928","117","1733","0",2022
"AMEOS Tagesklinik Oldenburg","2023-11-13","260100660","772929000","04","17","89","128","1520","0",2022
"AMEOS Klinikum Oldenburg","2023-11-13","260100660","773086000","05","21","957","0","473","0",2022
"Sankt Elisabeth Krankenhaus Eutin","2023-10-23","260100682","771399000","00","118","1974","92","0","0",2022
"Helios Agnes Karll Krankenhaus Bad Schwartau [BSC] [BSC]","2023-10-26","260100693","771825000","00","75","4024","0","0","0",2022
"AUGUST-BIER-KLINIK - Neurologie und Rehabilitation","2023-11-12","260100706","772843000","00","51","664","0","0","0",2022
"Regio Kliniken GmbH - Klinikum Pinneberg","2023-11-08","260100739","772624000","01","268","15206","0","22700","0",2022
"Regio Kliniken GmbH - Klinikum Elmshorn","2023-11-07","260100739","772625000","02","563","12084","575","16781","0",2022
"Regio Kliniken GmbH - Tagesklinik Norderstedt","2023-11-07","260100739","772626000","04","17","0","81","475","0",2022
"Regio Kliniken GmbH - Tagesklinik Psychiatrie Pinneberg","2023-11-07","260100739","772628000","05","23","0","132","1970","0",2022
"Klinik Preetz","2023-11-13","260100820","771667000","00","172","8933","0","8441","0",2022
"Fachklinik Freudenholm-Ruhleben / Klinische Abteilung","2023-11-02","260100831","773328000","00","50","1221","0","294","0",2022
"imland Klinik Rendsburg","2023-12-14","260100875","773201000","02","584","20996","582","44909","0",2022
"imland GmbH - imland Klinik Eckernförde","2023-12-14","260100875","773202000","01","216","5754","131","13799","0",2022
"HELIOS Klinik Schleswig GmbH","2023-10-26","260100911","773094000","00","307","15383","78","31408","0",2022
"HELIOS Fachklinik, Klinik für Erwachsenenpsychiatrie und Psychosomatische Medizin","2023-10-26","260100922","773143000","01","157","1873","6","5314","0",2022
"HELIOS Tagesklinik Psychiatrie (Erwachsene)","2023-10-26","260100922","773144000","02","20","0","161","3","0",2022
"HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie","2023-10-26","260100922","773145000","03","12","1275","62","4892","0",2022
"HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie, Tagesklinik Baumhaus Husum","2023-10-27","260100922","773146000","04","12","0","37","1422","0",2022
"SCHLEI-Klinikum Schleswig FKSL GmbH","2023-10-26","260100922","773767000","06","10","0","36","542","0",2022
"Fachkrankenhaus für Psychiatrie und Psychotherapie und Tagesklinik für Psychiatrie","2023-10-19","260101002","772517000","00","37","257","77","1164","0",2022
"Margarethen Klinik GmbH","2023-11-06","260101024","773441000","00","17","577","0","0","0",2022
"Psychiatrisches Krankenhaus Rickling","2023-11-07","260101091","773366000","01","360","3291","282","5361","0",2022
"Klinikum Bad Bramstedt GmbH","2023-11-13","260101104","771589000","00","146","4499","0","6094","0",2022
