"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"Hochgebirgsklinik Davos","2011-07-14","260000066, 510000248","00",NA,"74","423","8","Fallzählweise1432",NA,2010
"Diakonissenkrankenhaus Flensburg","2011-12-20","260100023, 512100210, 510106995, 201304613","00",NA,"576","22894","328","Fallzählweise60721",NA,2010
"Malteser Krankenhaus St. Franziskus-Hospital","2011-07-13","260100034","00",NA,"318","9401","471","Quartalszählweise9206",NA,2010
"Städtisches Krankenhaus Kiel GmbH","2011-12-14","260100089","00",NA,"602","24583","4640","Sonstige Zählweise37215",NA,2010
"Sankt Elisabeth Krankenhaus Kiel","2011-07-01","260100125","00",NA,"51","2912","0","Sonstige Zählweise1464",NA,2010
"Park-Klinik","2011-06-28","260100147","00",NA,"24","1988","0",NA,NA,2010
"Lubinus Clinicum","2011-07-13","260100170","00",NA,"212","7157","0","Fallzählweise35846",NA,2010
"Klinik Flechsig","2011-07-15","260100238","00",NA,"24","2048","0","Fallzählweise617",NA,2010
"Kath. Marien-Krankenhaus Lübeck gGmbH","2011-12-20","260100272","00",NA,"63","6343","0","Fallzählweise2774",NA,2010
"DRK-Fachklinik Hahnknüll gGmbH","2011-07-11","260100318","00",NA,"27","336","158","Patientenzählweise1008",NA,2010
"Klinik Dr. Lehmann","2011-07-14","260100329","00",NA,"26","517","0",NA,NA,2010
"Joh. KH Geesthacht","2011-07-14","260100432","00",NA,"249","11167","647","Quartalszählweise13330",NA,2010
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2011-07-13","260100454","00",NA,"184","8827","0","Fallzählweise18343",NA,2010
"Klinikum Nordfriesland gGmbH, Klinik Husum","2011-12-16","260100476","01",NA,"244","11212","0","Sonstige Zählweise17325",NA,2010
"Klinikum Nordfriesland gGmbH, Klinik Niebüll","2011-12-16","260100476","02",NA,"108","5829","0","Sonstige Zählweise13520",NA,2010
"Klinikum Nordfriesland gGmbH, Klinik Tönning","2011-12-16","260100476","03",NA,"33","2479","0","Sonstige Zählweise9690",NA,2010
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","2011-12-16","260100498","00",NA,"18","1543","0","Sonstige Zählweise2525",NA,2010
"Fachkliniken Nordfriesland gGmbH","2011-07-13","260100546","00",NA,"130","2458","348","Quartalszählweise4098",NA,2010
"Asklepios Nordseeklinik Westerland/Sylt","2011-07-14","260100557","00",NA,"114","4680","0","Fallzählweise17700",NA,2010
"Klinik Dr. Winkler","2011-12-15","260100580","00",NA,"21","895","0",NA,NA,2010
"Sana Kliniken Ostholstein - Klinik Fehmarn (Chirurgische Notfallambulanz)","2011-06-14","260100626","03",NA,"30","0","0","Fallzählweise2668",NA,2010
"Sana Kliniken Ostholstein GmbH - Klinik Eutin","2011-05-31","260100626","01",NA,"215","11364","1794","Fallzählweise16845",NA,2010
"Sana Kliniken Ostholstein GmbH  - Klinik Oldenburg","2011-06-20","260100626","02",NA,"150","7897","0","Fallzählweise20655",NA,2010
"Ameos Krankenhausgesellschaft Holstein mbH","2011-11-22","260100659","99",NA,"247","3647","133","Quartalszählweise4843",NA,2010
"Ameos Krankenhausgesellschaft Holstein mbH","2011-11-22","260100660","99",NA,"306","4334","189","Quartalszählweise5036",NA,2010
"Sankt-Elisabeth-Krankenhaus Eutin","2011-07-05","260100682","00",NA,"86","1285","0",NA,NA,2010
"HELIOS Agnes-Karll Krankenhaus Bad Schwartau","2011-07-12","260100693","00",NA,"63","3905","0",NA,NA,2010
"AUGUST-BIER-KLINIK, Fachklinik für Neurologie, Neurotraumatologie und Rehabilitation","2011-07-13","260100706","00",NA,"47","767","0",NA,NA,2010
"Regio Kliniken GmbH - Klinikum Elmshorn","2011-06-27","260100739","02",NA,"471","12827","259","Fallzählweise12265",NA,2010
"Regio Kliniken GmbH - Klinikum Pinneberg","2011-06-27","260100739","01",NA,"317","17013","62","Sonstige Zählweise23002",NA,2010
"Regio Kliniken GmbH Klinikum Wedel","2011-06-27","260100739","03",NA,"165","5315","0","Sonstige Zählweise4435",NA,2010
"Klinik Preetz, Einrichtung der Gesundheits- u. Pflegeeinrichtungen gGmbH u. Dienstleistungsgesellschaft des Kreises Plön","2011-07-15","260100820","00",NA,"168","8172","0","Fallzählweise6284",NA,2010
"Fachklinik Freudenholm-Ruhleben","2011-07-15","260100831","00",NA,"44","1471","0",NA,NA,2010
"imland GmbH - Klinik Rendsburg","2011-06-29","260100875","01",NA,"777","23271","539","Fallzählweise37138",NA,2010
"imland GmbH - imland Klinik Eckernförde","2011-06-30","260100875","02",NA,"777","8041","246","Fallzählweise11888",NA,2010
"SCHLEI-Klinikum Schleswig MLK","2011-07-11","260100911","00",NA,"361","15346","30","Fallzählweise19652",NA,2010
"SCHLEI-Klinikum Schleswig FKSL GmbH","2011-07-11","260100922","00",NA,"307","3483","0","Quartalszählweise9776",NA,2010
"Margarethen Klinik gemeinnützige GmbH","2011-07-15","260101024","01",NA,"32","1071","0",NA,NA,2010
"Psychiatrisches Krankenhaus Rickling","2011-07-15","260101091, 512104145, 510106882","00",NA,"282","3400","0","Fallzählweise4022",NA,2010
"Klinikum Bad Bramstedt","2011-12-19","260101104","00",NA,"219","6231","0","Quartalszählweise10091",NA,2010
"SEGEBERGER KLINIKEN GMBH","2011-07-11","260101126","00",NA,"461","17678","74","Fallzählweise16609",NA,2010
