"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"Diakonissenkrankenhaus Flensburg","2015-11-13","260100023","99",NA,"563","25534","604","50000",NA,2014
"Diakonissenkrankenhaus Flensburg","2015-11-23","260100023","99",NA,"609","27004","604","50000",NA,2014
"Malteser Krankenhaus St. Franziskus-Hospital","2015-11-04","260100034","00",NA,"333","10764","777","6015",NA,2014
"Städtisches Krankenhaus Kiel GmbH","2015-10-28","260100089","00",NA,"644","25008","430","48590",NA,2014
"Sankt Elisabeth Krankenhaus","2015-11-12","260100125","00",NA,"51","3453","0","0",NA,2014
"Park-Klinik GmbH","2015-11-11","260100147","00",NA,"24","2332","0","0",NA,2014
"Lubinus Clinicum","2015-11-12","260100170","00",NA,"212","6384","0","42953",NA,2014
"Klinik Flechsig Verwaltungsgesellschaft mbH","2015-11-11","260100238","00",NA,"20","1196","0","0",NA,2014
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2015-10-16","260100272","00",NA,"63","6083","0","0",NA,2014
"DRK-Fachklinik Hahnknüll gGmbH","2015-11-14","260100318","00",NA,"30","309","0","0",NA,2014
"Klinik Dr. Lehmann","2015-11-09","260100329","00",NA,"5","429","0","0",NA,2014
"Johanniter-Krankenhaus Geesthacht (KH)","2015-10-28","260100432","01",NA,"249","10995","792","17418",NA,2014
"Tagesklinik Schwarzenbek
c/o Johanniter-Krankenhaus Geesthacht GmbH","2015-10-27","260100432","02",NA,"16","0","156","0",NA,2014
"Tagesklinik Mölln
c/o Johanniter-Krankenhaus Geesthacht GmbH","2015-10-27","260100432","03",NA,"15","0","223","0",NA,2014
"Johanniter-Krankenhaus Geesthacht (KH)","2015-10-28","260100432","99",NA,"280","10995","1171","17418",NA,2014
"DRK Krankenhaus Mölln-Ratzeburg gGmbH","2015-12-15","260100454","00",NA,"184","8622","0","16000",NA,2014
"Klinikum Nordfriesland gGmbH","2015-11-10","260100476","99",NA,"234","12025","299","22300",NA,2014
"Klinikum Nordfriesland gGmbH","2015-11-10","260100476","99",NA,"129","6167","204","17600",NA,2014
"Klinikum Nordfriesland gGmbH","2015-11-10","260100476","99",NA,"29","1911","0","10600",NA,2014
"Klinikum Nordfriesland gGmbH","2015-11-10","260100476","99",NA,"392","20103","503","50500",NA,2014
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","2015-11-10","260100498","00",NA,"18","1362","0","3800",NA,2014
"Fachkliniken Nordfriesland gGmbH (Breklum)","2015-11-10","260100546","00",NA,"130","2014","428","4548",NA,2014
