Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Bettenzahl,Vollstationaere_Fallzahl,Teilstationaere_Fallzahl,Ambulante_Fallzahl,StaeB_Fallzahl,year
Diakonissenkrankenhaus Flensburg,2017-12-13,260100023,99,NA,507,24632,118,60000,NA,2016
Diakonissenkrankenhaus Flensburg,2017-11-09,260100023,99,NA,16,0,135,0,NA,2016
Diakonissenkrankenhaus Flensburg,2017-11-09,260100023,99,NA,15,0,169,0,NA,2016
Ev.-Luth. Diakonissenanstalt Flensburg,2017-12-13,260100023,99,NA,12,0,45,0,NA,2016
Diakonissenkrankenhaus,2017-12-13,260100023,99,NA,641,26126,805,60733,NA,2016
Malteser Krankenhaus St. Franziskus-Hospital,2017-10-18,260100034,00,NA,339,11324,694,7720,NA,2016
Städtisches Krankenhaus Kiel GmbH,2017-10-30,260100089,00,NA,664,26516,408,48551,NA,2016
Park-Klinik GmbH,2017-11-03,260100147,00,NA,24,2127,0,0,NA,2016
Lubinus Clinicum,2017-12-13,260100170,01,NA,148,5706,0,46192,NA,2016
Sankt Elisabeth Krankenhaus,2017-12-13,260100170,02,NA,48,3046,0,100,NA,2016
Lubinus-Stiftung,2017-12-13,260100170,99,NA,196,8752,0,46292,NA,2016
Klinik Flechsig GmbH,2017-11-22,260100238,00,NA,30,1133,0,0,NA,2016
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,2017-11-02,260100272,00,NA,53,6270,0,0,NA,2016
DRK-Fachklinik Hahnknüll gGmbH,2017-11-09,260100318,00,NA,30,324,0,540,NA,2016
Klinik Dr. Lehmann,2017-11-08,260100329,00,NA,5,308,0,957,NA,2016
Johanniter-Krankenhaus Geesthacht (KH),2017-11-09,260100432,01,NA,249,11126,448,5132,NA,2016
"Tagesklinik Schwarzenbek
c/o Johanniter-Krankenhaus Geesthacht GmbH",2017-11-09,260100432,02,NA,16,0,73,0,NA,2016
"Tagesklinik Mölln
c/o Johanniter-Krankenhaus Geesthacht GmbH",2017-11-09,260100432,03,NA,15,0,124,0,NA,2016
Johanniter-Krankenhaus Geesthacht (KH),2017-11-10,260100432,99,NA,280,11126,645,5132,NA,2016
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,2017-11-14,260100454,00,NA,184,8511,0,0,NA,2016
"Klinikum Nordfriesland gGmbH, Klinik Husum",2017-10-23,260100476,99,NA,277,12436,0,21675,NA,2016
"Klinikum Nordfriesland gGmbH, Klinik Husum",2017-10-23,260100476,99,NA,129,5221,0,12448,NA,2016
"Klinikum Nordfriesland gGmbH, Klinik Husum",2017-10-23,260100476,99,NA,38,1590,0,0,NA,2016
"Klinikum Nordfriesland gGmbH, Klinik Husum",2017-10-23,260100476,99,NA,444,19247,0,34123,NA,2016
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",2017-10-23,260100498,00,NA,18,1197,0,0,NA,2016
