Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Bettenzahl,Vollstationaere_Fallzahl,Teilstationaere_Fallzahl,Ambulante_Fallzahl,StaeB_Fallzahl,year
Diakonissenkrankenhaus Flensburg,2018-12-13,260100023,01,NA,537,25060,126,60000,NA,2017
Ev.-luth. Diakonissenanstalt Psychiatrische Tagesklinik für Ältere,2018-12-13,260100023,05,NA,16,0,120,0,NA,2017
Ev.-luth. Diakonissenanstalt Tagesklinik für Psychosomatik,2018-12-11,260100023,06,NA,15,0,148,0,NA,2017
Ev.-luth. Diakonissenanstalt Kinder- und Jugendpsychiatrie,2018-12-11,260100023,07,NA,25,0,64,0,NA,2017
Diakonissenkrankenhaus Flensburg,2018-11-13,260100023,99,NA,667,26580,836,60896,NA,2017
Malteser Krankenhaus St. Franziskus-Hospital,2018-11-06,260100034,01,NA,363,11771,464,7638,NA,2017
Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik,2018-11-06,260100034,02,NA,12,0,235,0,NA,2017
Malteser Krankenhaus St. Franziskus-Hospital,2018-11-06,260100034,99,NA,375,11771,699,7638,NA,2017
Städtisches Krankenhaus Kiel GmbH,2018-10-29,260100089,00,NA,718,27425,410,50080,NA,2017
Park-Klinik GmbH,2018-11-01,260100147,00,NA,24,2145,0,0,NA,2017
Lubinus Clinicum,2018-11-28,260100170,01,NA,148,5632,0,47958,NA,2017
Sankt Elisabeth Krankenhaus Kiel,2018-11-12,260100170,02,NA,48,2909,0,321,NA,2017
Lubinus Clinicum,2018-11-28,260100170,99,NA,196,8541,0,48279,NA,2017
Klinik Flechsig GmbH,2018-11-12,260100238,00,NA,30,1201,0,0,NA,2017
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,2018-10-30,260100272,00,NA,55,6061,0,0,NA,2017
DRK-Fachklinik Hahnknüll gGmbH,2018-11-13,260100318,00,NA,30,371,0,632,NA,2017
Klinik Dr. Lehmann,2018-11-08,260100329,00,NA,5,298,0,1012,NA,2017
Johanniter-Krankenhaus Geesthacht GmbH,2018-11-13,260100432,01,NA,188,11034,635,5588,NA,2017
Johanniter Tagesklinik Schwarzenbek,2018-11-09,260100432,02,NA,16,0,159,0,NA,2017
Johanniter Tagesklnik Mölln,2018-11-09,260100432,03,NA,15,0,234,0,NA,2017
Johanniter-Krankenhaus Geesthacht (KH),2018-11-13,260100432,99,NA,219,11034,1028,5588,NA,2017
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,2018-10-18,260100454,00,NA,158,9028,0,16122,NA,2017
"Klinikum Nordfriesland gGmbH, Klinik Husum",2018-11-14,260100476,01,NA,277,12846,0,0,NA,2017
"Klinikum Nordfriesland gGmbH, Klinik Niebüll",2018-11-14,260100476,02,NA,126,5219,77,0,NA,2017
Klinikum Nordfriesland gGmbH,2018-11-14,260100476,99,NA,403,18065,77,0,NA,2017
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",2018-11-14,260100498,00,NA,18,1257,0,0,NA,2017
DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik - stat. Angebote),2018-10-04,260100546,01,NA,99,1844,0,16674,NA,2017
DIAKO Nordfriesland gGmbH (Tagesklinik Breklum),2018-10-04,260100546,02,NA,0,0,114,0,NA,2017
DIAKO Nordfriesland gGmbH (Tagesklinik Husum),2018-10-04,260100546,03,NA,0,0,153,0,NA,2017
DIAKO Nordfriesland gGmbH (Tagesklinik Niebüll),2018-10-04,260100546,04,NA,0,0,70,0,NA,2017
DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik,2018-10-04,260100546,99,NA,99,1844,337,16674,NA,2017
Asklepios Nordseeklinik Westerland/Sylt,2018-11-09,260100557,00,NA,95,4487,0,13642,NA,2017
Klinik Dr. Winkler,2018-10-29,260100580,00,NA,21,896,0,0,NA,2017
Sana Kliniken Ostholstein GmbH - Klinik Eutin,2018-11-08,260100626,01,NA,227,12466,1043,2504,NA,2017
Sana Kliniken Ostholstein GmbH - Klinik Oldenburg,2018-11-08,260100626,02,NA,140,5911,414,2440,NA,2017
Sana Kliniken Ostholstein GmbH - Inselklinik Fehmarn,2018-11-08,260100626,03,NA,28,1219,0,4545,NA,2017
Sana Kliniken Ostholstein GmbH,2018-11-12,260100626,99,NA,495,21021,1757,9579,NA,2017
AMEOS Klinikum Neustadt,2018-11-12,260100659,01,NA,247,2079,0,3286,NA,2017
AMEOS Klinikum Lübeck,2018-11-08,260100659,02,NA,247,785,119,2769,NA,2017
AMEOS Klinikum Eutin,2018-11-12,260100659,03,NA,247,0,176,1593,NA,2017
AMEOS Klinikum Neustadt,2018-11-12,260100659,99,NA,741,2864,295,7648,NA,2017
AMEOS Klinikum Heiligenhafen,2018-11-12,260100660,01,NA,306,2045,92,4151,NA,2017
