Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Bettenzahl,Vollstationaere_Fallzahl,Teilstationaere_Fallzahl,Ambulante_Fallzahl,StaeB_Fallzahl,year
Diakonissenkrankenhaus Flensburg,2019-12-12,260100023,01,NA,537,24708,120,60000,NA,2018
Ev.-luth. Diakonissenanstalt Psychiatrische Tagesklinik für Ältere,2019-11-08,260100023,05,NA,19,0,136,0,NA,2018
Ev.-luth. Diakonissenanstalt Tagesklinik für Psychosomatik,2019-11-08,260100023,06,NA,15,0,154,0,NA,2018
Ev.-luth. Diakonissenanstalt Kinder- und Jugendpsychiatrie,2019-11-08,260100023,07,NA,25,0,109,0,NA,2018
Diakonissenkrankenhaus Flensburg,2019-12-12,260100023,99,NA,667,25959,895,61584,NA,2018
Malteser Krankenhaus St. Franziskus-Hospital,2019-10-21,260100034,01,NA,363,11923,472,7570,NA,2018
Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik,2019-10-21,260100034,02,NA,12,0,236,0,NA,2018
Malteser Krankenhaus St. Franziskus-Hospital,2019-10-24,260100034,99,NA,375,11923,708,7570,NA,2018
Städtisches Krankenhaus Kiel GmbH,2019-11-01,260100089,00,NA,718,26787,439,54464,NA,2018
Park-Klinik GmbH,2019-11-06,260100147,00,NA,24,2072,0,0,NA,2018
Lubinus Clinicum,2019-11-25,260100170,01,NA,148,5291,0,41221,NA,2018
Sankt Elisabeth Krankenhaus Kiel,2019-11-25,260100170,02,NA,48,2803,0,803,NA,2018
Lubinus Clinicum,2019-11-25,260100170,99,NA,196,8094,0,42024,NA,2018
Klinik Flechsig GmbH,2019-11-13,260100238,00,NA,30,1212,0,761,NA,2018
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,2019-11-08,260100272,00,NA,52,5880,0,0,NA,2018
DRK-Fachklinik Hahnknüll gGmbH,2019-11-15,260100318,00,NA,30,331,0,680,NA,2018
Klinik Dr. Lehmann,2019-11-05,260100329,00,NA,4,340,0,951,NA,2018
Johanniter-Krankenhaus Geesthacht GmbH,2019-11-08,260100432,01,NA,188,10447,399,4659,NA,2018
Johanniter Tagesklinik Schwarzenbek,2019-11-08,260100432,02,NA,16,0,94,0,NA,2018
Johanniter Tagesklnik Mölln,2019-11-08,260100432,03,NA,15,0,156,0,NA,2018
Johanniter-Krankenhaus Geesthacht (KH),2019-11-08,260100432,99,NA,219,10447,649,4659,NA,2018
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,2019-11-12,260100454,00,NA,158,8959,0,18270,NA,2018
"Klinikum Nordfriesland gGmbH, Klinik Husum",2019-11-05,260100476,01,NA,405,12612,384,0,NA,2018
"Klinikum Nordfriesland gGmbH, Klinik Niebüll",2019-11-05,260100476,02,NA,405,5124,216,0,NA,2018
Klinikum Nordfriesland gGmbH,2019-11-05,260100476,99,NA,810,17736,600,0,NA,2018
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",2019-11-05,260100498,00,NA,19,1240,0,0,NA,2018
DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik - stat. Angebote),2019-09-20,260100546,01,NA,99,1877,252,17976,NA,2018
