Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Bettenzahl,Vollstationaere_Fallzahl,Teilstationaere_Fallzahl,Ambulante_Fallzahl,StaeB_Fallzahl,year
Diakonissenkrankenhaus Flensburg,2020-11-12,260100023,01,NA,493,24570,125,50000,NA,2019
Ev.-luth. Diakonissenanstalt Psychiatrische Tagesklinik für Ältere,2020-11-12,260100023,05,NA,19,0,123,0,NA,2019
Ev.-luth. Diakonissenanstalt Tagesklinik für Psychosomatik,2020-11-12,260100023,06,NA,15,0,165,0,NA,2019
Ev.-luth. Diakonissenanstalt Kinder- und Jugendpsychiatrie,2020-12-03,260100023,07,NA,25,0,135,0,NA,2019
Diakonissenkrankenhaus Flensburg,2020-11-13,260100023,99,NA,601,25415,908,50000,NA,2019
Malteser Krankenhaus St. Franziskus-Hospital,2020-11-03,260100034,01,NA,342,12231,570,8416,NA,2019
Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik,2020-11-02,260100034,02,NA,12,0,229,8416,NA,2019
Malteser Krankenhaus St. Franziskus-Hospital,2020-11-09,260100034,99,NA,354,12231,799,16832,NA,2019
Park-Klinik GmbH,2020-10-27,260100147,00,NA,24,2021,0,0,NA,2019
Lubinus Clinicum,2020-12-10,260100170,01,NA,139,5743,0,41221,NA,2019
Sankt Elisabeth Krankenhaus Kiel,2020-12-10,260100170,02,NA,43,2811,0,803,NA,2019
Lubinus Clinicum,2020-12-10,260100170,99,NA,182,8554,0,42024,NA,2019
Klinik Flechsig GmbH,2020-10-20,260100238,00,NA,30,1287,0,800,NA,2019
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,2020-11-02,260100272,00,NA,52,6005,0,0,NA,2019
DRK-Fachklinik Hahnknüll gGmbH,2020-11-11,260100318,00,NA,33,353,0,646,NA,2019
Johanniter-Krankenhaus Geesthacht GmbH,2020-11-11,260100432,01,NA,185,9772,348,4659,NA,2019
Johanniter Tagesklinik Schwarzenbek,2020-11-11,260100432,02,NA,16,0,80,0,NA,2019
Johanniter Tagesklnik Mölln,2020-11-11,260100432,03,NA,15,0,117,0,NA,2019
Johanniter-Krankenhaus Geesthacht (KH),2020-11-11,260100432,99,NA,216,9772,545,4659,NA,2019
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,2020-10-23,260100454,00,NA,167,8887,0,16038,NA,2019
"Klinikum Nordfriesland gGmbH, Klinik Husum",2020-11-09,260100476,01,NA,293,13184,404,0,NA,2019
